review_id,product_id,source,review,sentiment,length,date
R0001,P1000,Store,It exceeded my expectations.,Positive,81,2024-01-01
R0002,P1001,Store,"It’s fine, works as intended.",Neutral,119,2024-01-02
R0003,P1002,App,Very disappointing.,Negative,99,2024-01-03
R0004,P1003,App,Totally worth the price.,Positive,169,2024-01-04
R0005,P1004,Email,Neither good nor bad.,Neutral,148,2024-01-05
R0006,P1005,App,Completely dissatisfied.,Negative,146,2024-01-06
R0007,P1006,Email,Excellent quality and fast shipping.,Positive,135,2024-01-07
R0008,P1007,Store,Neither good nor bad.,Neutral,126,2024-01-08
R0009,P1008,App,Not worth the money.,Negative,131,2024-01-09
R0010,P1009,Email,It exceeded my expectations.,Positive,165,2024-01-10
R0011,P1010,App,"It's okay, nothing special.",Neutral,20,2024-01-11
R0012,P1011,Website,Customer support was awful.,Negative,75,2024-01-12
R0013,P1012,App,Totally worth the price.,Positive,112,2024-01-13
R0014,P1013,Email,"Just okay, nothing exceptional.",Neutral,33,2024-01-14
R0015,P1014,App,Customer support was awful.,Negative,133,2024-01-15
R0016,P1015,App,Great value for money.,Positive,48,2024-01-16
R0017,P1016,Website,"It's okay, nothing special.",Neutral,176,2024-01-17
R0018,P1017,App,Product arrived broken.,Negative,104,2024-01-18
R0019,P1018,Email,This is a game changer!,Positive,71,2024-01-19
R0020,P1019,Email,Average product.,Neutral,52,2024-01-20
R0021,P1020,Store,Not worth the money.,Negative,52,2024-01-21
R0022,P1021,Store,I absolutely love this product!,Positive,30,2024-01-22
R0023,P1022,Store,Neither good nor bad.,Neutral,83,2024-01-23
R0024,P1023,App,Product arrived broken.,Negative,168,2024-01-24
R0025,P1024,Email,Very satisfied with my purchase.,Positive,179,2024-01-25
R0026,P1025,Website,Satisfactory experience.,Neutral,99,2024-01-26
R0027,P1026,Email,Not worth the money.,Negative,26,2024-01-27
R0028,P1027,Store,This is a game changer!,Positive,194,2024-01-28
R0029,P1028,App,Performance is acceptable.,Neutral,55,2024-01-29
R0030,P1029,Website,Wouldn’t recommend this.,Negative,92,2024-01-30
R0031,P1030,Email,This is a game changer!,Positive,103,2024-01-31
R0032,P1031,Store,"It's okay, nothing special.",Neutral,119,2024-02-01
R0033,P1032,App,Customer support was awful.,Negative,140,2024-02-02
R0034,P1033,App,It exceeded my expectations.,Positive,105,2024-02-03
R0035,P1034,Website,Neither good nor bad.,Neutral,115,2024-02-04
R0036,P1035,Website,Worst purchase ever.,Negative,80,2024-02-05
R0037,P1036,App,This is a game changer!,Positive,181,2024-02-06
R0038,P1037,Email,Not much to say about it.,Neutral,100,2024-02-07
R0039,P1038,Email,Worst purchase ever.,Negative,163,2024-02-08
R0040,P1039,Website,Excellent quality and fast shipping.,Positive,195,2024-02-09
R0041,P1040,Website,Performance is acceptable.,Neutral,161,2024-02-10
R0042,P1041,Store,Very disappointing.,Negative,38,2024-02-11
R0043,P1042,Website,Very satisfied with my purchase.,Positive,89,2024-02-12
R0044,P1043,Website,"It’s fine, works as intended.",Neutral,133,2024-02-13
R0045,P1044,App,Poor quality and slow delivery.,Negative,46,2024-02-14
R0046,P1045,Store,I absolutely love this product!,Positive,180,2024-02-15
R0047,P1046,Email,"It's okay, nothing special.",Neutral,115,2024-02-16
R0048,P1047,Email,Customer support was awful.,Negative,88,2024-02-17
R0049,P1048,Email,Highly recommend this to everyone.,Positive,109,2024-02-18
R0050,P1049,Email,Decent product for the price.,Neutral,35,2024-02-19
R0051,P1050,App,Not worth the money.,Negative,162,2024-02-20
R0052,P1051,Store,Totally worth the price.,Positive,169,2024-02-21
R0053,P1052,Store,Performance is acceptable.,Neutral,89,2024-02-22
R0054,P1053,App,Very disappointing.,Negative,165,2024-02-23
R0055,P1054,App,Superb build and amazing performance.,Positive,25,2024-02-24
R0056,P1055,Website,Not much to say about it.,Neutral,78,2024-02-25
R0057,P1056,Website,Product arrived broken.,Negative,193,2024-02-26
R0058,P1057,Store,Totally worth the price.,Positive,26,2024-02-27
R0059,P1058,App,Neither good nor bad.,Neutral,128,2024-02-28
R0060,P1059,Store,Poor quality and slow delivery.,Negative,44,2024-02-29
R0061,P1060,Store,Highly recommend this to everyone.,Positive,40,2024-03-01
R0062,P1061,App,"It's okay, nothing special.",Neutral,24,2024-03-02
R0063,P1062,Website,Wouldn’t recommend this.,Negative,138,2024-03-03
R0064,P1063,App,It exceeded my expectations.,Positive,76,2024-03-04
R0065,P1064,Store,Decent product for the price.,Neutral,191,2024-03-05
R0066,P1065,Store,I had a bad experience.,Negative,135,2024-03-06
R0067,P1066,Website,I absolutely love this product!,Positive,47,2024-03-07
R0068,P1067,Store,"It’s fine, works as intended.",Neutral,189,2024-03-08
R0069,P1068,Website,I had a bad experience.,Negative,41,2024-03-09
R0070,P1069,Store,I'm impressed with the design and function.,Positive,89,2024-03-10
R0071,P1070,App,Performance is acceptable.,Neutral,120,2024-03-11
R0072,P1071,Email,Completely dissatisfied.,Negative,118,2024-03-12
R0073,P1072,Email,Excellent quality and fast shipping.,Positive,187,2024-03-13
R0074,P1073,Email,"Just okay, nothing exceptional.",Neutral,54,2024-03-14
R0075,P1074,Email,Poor quality and slow delivery.,Negative,188,2024-03-15
R0076,P1075,Email,I absolutely love this product!,Positive,78,2024-03-16
R0077,P1076,Email,Not much to say about it.,Neutral,40,2024-03-17
R0078,P1077,Store,I had a bad experience.,Negative,95,2024-03-18
R0079,P1078,Store,I'm impressed with the design and function.,Positive,182,2024-03-19
R0080,P1079,Website,Decent product for the price.,Neutral,22,2024-03-20
R0081,P1080,App,Terrible experience.,Negative,82,2024-03-21
R0082,P1081,App,Great value for money.,Positive,139,2024-03-22
R0083,P1082,Store,Meets basic expectations.,Neutral,124,2024-03-23
